dataset_key,dataset,activation_key,activation,status,epochs_completed,test_accuracy,test_balanced_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,test_loss,test_samples,training_seconds,evaluation_seconds,mean_epoch_seconds,mean_train_examples_per_second,telemetry_samples,gpu_util_mean_pct,gpu_util_max_pct,gpu_memory_mean_bytes,peak_gpu_memory_bytes,process_cpu_mean_pct,peak_process_cpu_pct,process_rss_mean_bytes,peak_process_rss_bytes,ram_mean_pct,peak_ram_percent,thermal_pressure,metric_path
mnist,MNIST,relu,ReLU,completed,100,0.983711183082492,0.9834921216306837,0.9836032804048654,0.9838301459444436,0.9834921216306837,0.05944294109940529,10498,11517.993740995953,10.829697667009896,115.17993740995954,638.2008853192772,2440,92.98524590163935,100.0,954179046.8196721,1340981248.0,84.26950819672132,154.4,3039171607.5016394,4145889280.0,74.1270081967213,78.6,nominal,outputs/controlled-augmentation05-activations-mac2/activations/mnist/relu/mnist/runs/mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
mnist,MNIST,sigmoid,Sigmoid,completed,100,0.984568489236045,0.984298213400842,0.9843664460956557,0.9844736663561985,0.984298213400842,0.055624689906835556,10498,15238.214463624085,21.720739207987208,152.38214463624084,482.3845858829897,3299,81.62352227947864,100.0,812461274.2091542,1205895168.0,75.52021824795393,154.9,3234922426.4710517,4292362240.0,73.80833585935132,76.4,nominal,outputs/controlled-augmentation05-activations-mac2/activations/mnist/sigmoid/mnist/runs/mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
mnist,MNIST,softmax,Softmax,completed,100,0.11249761859401791,0.1,0.020224334275194798,0.011249761859401792,0.1,2.3014438152313232,10498,11775.207656631072,11.25788633400225,117.75207656631072,624.2558210258813,2489,92.65488147850543,100.0,954462407.1225392,1320796160.0,82.55343511450381,156.6,3268853016.1703496,4648058880.0,74.06601044596223,77.8,nominal,outputs/controlled-augmentation05-activations-mac2/activations/mnist/softmax/mnist/runs/mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
fashion_mnist,Fashion-MNIST,relu,ReLU,completed,100,0.8781904761904762,0.8781904761904762,0.875009941371526,0.8818018265375256,0.8781904761904762,0.3272852599620819,10500,11786.486073706998,11.04419083299581,117.86486073706998,623.6867404402673,2494,92.79751403368084,100.0,951980751.3456295,1341620224.0,82.59759422614275,156.6,3179155498.700882,4414652416.0,74.34218123496392,78.8,nominal,outputs/controlled-augmentation05-activations-mac2/activations/fashion_mnist/relu/fashion_mnist/runs/fashion_mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
fashion_mnist,Fashion-MNIST,sigmoid,Sigmoid,completed,100,0.9004761904761904,0.9004761904761903,0.9004150282064896,0.9019946165771031,0.9004761904761903,0.2770634591579437,10500,15033.887372297788,21.947290791984415,150.33887372297787,489.07670651975576,3260,81.75920245398773,100.0,810558666.2871165,1207287808.0,76.20736196319018,153.9,2872803659.7006135,3932602368.0,75.3855828220859,80.2,nominal,outputs/controlled-augmentation05-activations-mac2/activations/fashion_mnist/sigmoid/fashion_mnist/runs/fashion_mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
fashion_mnist,Fashion-MNIST,softmax,Softmax,completed,100,0.1,0.1,0.01818181818181818,0.01,0.1,2.3025875091552734,10500,11714.336134247045,11.12894412499736,117.14336134247046,627.5283115638608,2479,93.20290439693424,100.0,954661537.3037515,1368014848.0,85.53670835014118,154.3,3052872509.444131,4259069952.0,75.75897539330376,79.7,nominal,outputs/controlled-augmentation05-activations-mac2/activations/fashion_mnist/softmax/fashion_mnist/runs/fashion_mnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
kmnist,KMNIST,relu,ReLU,completed,100,0.9701904761904762,0.9701904761904763,0.9701596301619635,0.9706152207617865,0.9701904761904763,0.13836397230625153,10500,11512.946026501915,10.756701875012368,115.12946026501915,638.4951444114242,2441,93.372388365424,100.0,952196767.619828,1350565888.0,85.05469070053257,155.2,3013869823.0561247,4267163648.0,76.01216714461287,79.2,nominal,outputs/controlled-augmentation05-activations-mac2/activations/kmnist/relu/kmnist/runs/kmnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
kmnist,KMNIST,sigmoid,Sigmoid,completed,100,0.9711428571428572,0.971142857142857,0.971143229198546,0.9712816730012255,0.971142857142857,0.10636886209249496,10500,12360.555867666002,21.19540433399925,147.14947461507143,499.58080360083494,2679,80.90332213512505,100.0,1020473905.1168346,1646886912.0,77.91216871967153,181.0,2993760932.550952,4031938560.0,71.95013064576334,74.7,nominal,outputs/controlled-augmentation05-activations-mac2/activations/kmnist/sigmoid/kmnist/runs/kmnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
kmnist,KMNIST,softmax,Softmax,completed,100,0.1,0.1,0.01818181818181818,0.01,0.1,2.3025875091552734,10500,11617.33991616201,10.474918500000058,116.1733991616201,633.0513574449161,2458,92.99145646867372,100.0,1099251712.0,2249211904.0,84.13498779495524,156.3,3239216757.06428,4132913152.0,73.46521562245728,84.8,nominal,outputs/controlled-augmentation05-activations-mac2/activations/kmnist/softmax/kmnist/runs/kmnist__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
emnist_balanced,EMNIST Balanced,relu,ReLU,completed,100,0.8486322188449849,0.8486322188449849,0.8441570669230694,0.8594747894016104,0.8486322188449849,0.5687423348426819,19740,13731.53303004001,18.5448203750002,236.7505694834484,583.7975038335304,2840,91.81971830985916,100.0,1010974073.8704225,2062630912.0,99.51084507042253,225.0,2586241554.7492957,3465887744.0,75.20397887323944,84.9,nominal,outputs/controlled-augmentation05-activations-mac2/activations/emnist_balanced/relu/emnist_balanced/runs/emnist_balanced__unit_interval__all_raw__seed-42/artifacts/test_metrics.json
