class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9876190476190476,0.9876190476190476,0.9876190476190476
1,1,1,1050,0.9753320683111955,0.979047619047619,0.9771863117870723
2,2,2,1050,0.9819391634980988,0.9838095238095238,0.9828734538534728
3,3,3,1050,0.990521327014218,0.9952380952380953,0.9928741092636579
4,4,4,1050,0.9913544668587896,0.9828571428571429,0.9870875179340028
5,5,5,1050,0.9765258215962441,0.9904761904761905,0.9834515366430261
6,6,6,1050,0.9856459330143541,0.9809523809523809,0.9832935560859187
7,7,7,1050,0.9913875598086125,0.9866666666666667,0.9890214797136039
8,8,8,1050,0.9923371647509579,0.9866666666666667,0.9894937917860555
9,9,9,1050,0.990467111534795,0.9895238095238095,0.9899952358265842
