class_index,label,class_name,support,precision,recall,f1
0,0,0,1035,0.991362763915547,0.9980676328502416,0.9947038998555608
1,1,1,1181,0.9949152542372881,0.9940728196443692,0.9944938585345193
2,2,2,1048,0.982824427480916,0.982824427480916,0.982824427480916
3,3,3,1071,0.9943977591036415,0.9943977591036415,0.9943977591036415
4,4,4,1023,0.9960707269155207,0.9912023460410557,0.9936305732484076
5,5,5,947,0.9873150105708245,0.986272439281943,0.9867934495509773
6,6,6,1031,0.991270611057226,0.991270611057226,0.991270611057226
7,7,7,1094,0.985480943738657,0.9926873857404022,0.9890710382513661
8,8,8,1024,0.9941234084231146,0.9912109375,0.9926650366748166
9,9,9,1044,0.9903753609239654,0.985632183908046,0.9879980796927509
