class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.8452157598499062,0.8580952380952381,0.8516068052930056
1,1,1,1050,0.991362763915547,0.9838095238095238,0.9875717017208413
2,2,2,1050,0.8700787401574803,0.8419047619047619,0.8557599225556631
3,3,3,1050,0.8913043478260869,0.9371428571428572,0.9136490250696379
4,4,4,1050,0.8517441860465116,0.8371428571428572,0.8443804034582133
5,5,5,1050,0.9883833494675702,0.9723809523809523,0.9803168506961114
6,6,6,1050,0.7673745173745173,0.7571428571428571,0.7622243528283797
7,7,7,1050,0.9504672897196261,0.9685714285714285,0.9594339622641509
8,8,8,1050,0.976258309591643,0.979047619047619,0.9776509747979077
9,9,9,1050,0.9656488549618321,0.9638095238095238,0.9647283126787416
