class_index,label,class_name,support,precision,recall,f1
0,0,aquatic_mammals,2,0.0,0.0,0.0
1,1,fish,2,0.0,0.0,0.0
2,2,flowers,2,0.0,0.0,0.0
3,3,food_containers,2,0.0,0.0,0.0
4,4,fruit_and_vegetables,2,0.0,0.0,0.0
5,5,household_electrical_devices,2,0.0,0.0,0.0
6,6,household_furniture,2,0.0,0.0,0.0
7,7,insects,2,0.0,0.0,0.0
8,8,large_carnivores,2,0.0,0.0,0.0
9,9,large_man-made_outdoor_things,2,0.0,0.0,0.0
10,10,large_natural_outdoor_scenes,2,0.0,0.0,0.0
11,11,large_omnivores_and_herbivores,2,0.0,0.0,0.0
12,12,medium_mammals,2,0.0,0.0,0.0
13,13,non-insect_invertebrates,2,0.0,0.0,0.0
14,14,people,2,0.25,0.5,0.3333333333333333
15,15,reptiles,2,0.0,0.0,0.0
16,16,small_mammals,2,0.0,0.0,0.0
17,17,trees,2,0.0,0.0,0.0
18,18,vehicles_1,2,0.5,0.5,0.5
19,19,vehicles_2,2,0.0,0.0,0.0
