true_label,true_class_name,aquatic_mammals,fish,flowers,food_containers,fruit_and_vegetables,household_electrical_devices,household_furniture,insects,large_carnivores,large_man-made_outdoor_things,large_natural_outdoor_scenes,large_omnivores_and_herbivores,medium_mammals,non-insect_invertebrates,people,reptiles,small_mammals,trees,vehicles_1,vehicles_2
0,aquatic_mammals,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,fish,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,flowers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,food_containers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,fruit_and_vegetables,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,household_electrical_devices,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,household_furniture,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,insects,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,large_carnivores,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,large_man-made_outdoor_things,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10,large_natural_outdoor_scenes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11,large_omnivores_and_herbivores,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,medium_mammals,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,non-insect_invertebrates,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,people,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,reptiles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
16,small_mammals,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17,trees,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,vehicles_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19,vehicles_2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
