batch_size,telemetry_samples,telemetry_epoch_end_count,telemetry_coverage_rate,gpu_util_mean_percent,gpu_util_p95_percent,gpu_util_max_percent,gpu_memory_mean_gib,gpu_memory_p95_gib,gpu_memory_max_gib,gpu_temperature_mean_c,gpu_temperature_max_c,ram_mean_percent,ram_max_percent,ram_used_max_gib,process_rss_mean_gib,process_rss_max_gib,cpu_mean_percent,process_cpu_mean_percent,output_disk_free_min_gib
16,2414,49,0.98,33.722866611433304,44.0,86.0,4.364408873879623,4.974185943603516,5.008918762207031,44.29453189726595,57.0,21.630157415078706,23.1,3.5791053771972656,3.4239723866106364,3.6459579467773438,10.710273405136702,130.96884838442418,161.58876419067383
32,1670,50,1.0,27.595209580838322,41.0,94.0,4.090506684994269,4.139614105224609,4.144741058349609,42.55808383233533,49.0,22.38568862275449,23.9,3.6923904418945312,3.5485168571243744,3.7776451110839844,11.223712574850298,137.45814371257487,161.5604591369629
48,109,4,0.08,31.027522935779817,45.599999999999994,58.0,2.106149340988299,2.3144287109375,2.5236358642578125,45.357798165137616,52.0,17.21926605504587,20.4,3.158763885498047,2.764647037611095,3.270721435546875,11.636697247706422,143.751376146789,193.16658782958984
64,893,41,0.82,28.516237402015676,42.0,98.0,2.6809449062368773,2.726520538330078,2.919513702392578,42.56662933930571,50.0,21.566741321388577,23.7,3.6707611083984375,3.4377381131470135,3.763885498046875,12.288465845464726,158.34400895856663,193.15613174438477
80,985,50,1.0,22.72791878172589,40.0,98.0,2.6190488398982787,2.6274795532226562,2.8292617797851562,42.665989847715736,49.0,21.305177664974618,22.2,3.4428672790527344,3.391459028369884,3.5381927490234375,12.431878172588831,160.78944162436548,193.14300918579102
96,926,50,1.0,21.257019438444924,41.75,98.0,2.742514373416777,2.7527542114257812,2.7619705200195312,42.470842332613394,50.0,22.054211663066955,23.7,3.6627273559570312,3.5045422045252494,3.7556190490722656,12.627645788336935,162.77365010799136,193.12945175170898
112,839,50,1.0,18.581644815256258,43.0,69.0,2.753726272673942,2.7739944458007812,2.7888870239257812,42.19427890345649,50.0,22.813825983313468,24.1,3.72857666015625,3.6246937921135305,3.8236236572265625,12.923718712753278,166.64779499404054,193.115478515625
128,835,50,1.0,18.49820359281437,41.0,92.0,2.7623556262718703,2.7739944458007812,2.7760963439941406,42.55568862275449,50.0,22.551616766467063,24.0,3.7151107788085938,3.585554984087002,3.812103271484375,12.900359281437124,165.97748502994014,193.10198974609375
144,782,50,1.0,18.308184143222505,43.0,98.0,2.7623554824868126,2.7728919982910156,2.7745399475097656,41.62404092071611,54.0,21.194884910485936,22.3,3.459209442138672,3.373570830011002,3.554668426513672,13.002813299232738,166.72659846547313,193.08855819702148
160,793,50,1.0,18.852459016393443,40.0,72.0,2.764212816389933,2.776355743408203,2.7834205627441406,40.944514501891554,48.0,21.349432534678435,22.4,3.4637413024902344,3.3979502674309634,3.562225341796875,12.851197982345523,165.34489281210594,193.07509994506836
176,769,50,1.0,19.22886866059818,43.0,97.0,2.770921441761508,2.784748077392578,2.799640655517578,41.15474642392718,48.0,21.75786736020806,22.8,3.531299591064453,3.458997376718509,3.624256134033203,12.87217165149545,166.22730819245774,193.06167221069336
192,710,50,1.0,19.56338028169014,50.0,98.0,2.7693565691021127,2.780109405517578,2.786579132080078,40.86619718309859,49.0,22.379718309859154,24.6,3.8008460998535156,3.5534358870815224,3.891338348388672,12.904647887323943,168.30239436619718,193.04827880859375
208,700,50,1.0,23.661428571428573,53.0,98.0,3.363406889779227,3.5416095733642576,3.6493606567382812,43.027142857142856,52.0,21.62242857142857,23.6,3.6528549194335938,3.438673902239118,3.749309539794922,13.05342857142857,170.47885714285715,193.0349006652832
224,147,7,0.14,36.925170068027214,54.0,60.0,4.613781234845012,5.33929214477539,5.364521026611328,47.006802721088434,56.0,17.706802721088437,20.9,3.2281341552734375,2.8402957786508156,3.339801788330078,11.985714285714286,154.2721088435374,193.02148056030273
240,915,50,1.0,36.49180327868852,57.0,74.0,4.70676564701268,4.880439758300781,5.188915252685547,47.74098360655738,56.0,21.128524590163934,22.9,3.550079345703125,3.375911591743511,3.6542701721191406,12.48360655737705,161.72754098360656,193.00793838500977
256,752,50,1.0,33.72074468085106,57.0,100.0,4.343700485026583,4.476615905761719,4.505523681640625,45.683510638297875,54.0,22.43843085106383,23.5,3.635692596435547,3.580398326224469,3.7489662170410156,12.844148936170212,165.75438829787234,192.99402618408203
272,881,50,1.0,33.65266742338252,52.0,82.0,4.327708457574401,4.435047149658203,4.577060699462891,45.91373439273553,54.0,21.548240635641317,22.7,3.5095481872558594,3.4453904826308217,3.626026153564453,12.4577752553916,168.53984108967083,192.98051071166992
288,814,50,1.0,27.93243243243243,51.0,100.0,4.294852779304073,4.461376953125,4.514556884765625,44.304668304668304,53.0,21.835380835380835,23.2,3.587322235107422,3.4894530181509857,3.699573516845703,12.696805896805898,167.35921375921376,192.96704864501953
304,749,50,1.0,20.102803738317757,55.0,81.0,4.171403907806437,4.1971290588378904,4.211673736572266,42.32042723631508,51.0,22.090921228304403,23.9,3.704784393310547,3.5285797577515465,3.816387176513672,13.01214953271028,168.6493991989319,192.95448303222656
