batch_size,check,passed,severity_if_failed,detail,result
16,required_files,True,critical,all required files present,Aprovado
16,status_completed,True,critical,completed,Aprovado
16,batch_matches_config,True,critical,"config=16, folder=16",Aprovado
16,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
16,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
16,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
16,timing_summary_reconciled,False,medium,"epoch_sum=9339.067793, summary=9128.275393",Falhou
16,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
16,full_telemetry_coverage,True,medium,telemetry_epoch_end=49/50,Aprovado
16,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
16,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
16,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
32,required_files,True,critical,all required files present,Aprovado
32,status_completed,True,critical,completed,Aprovado
32,batch_matches_config,True,critical,"config=32, folder=32",Aprovado
32,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
32,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
32,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
32,timing_summary_reconciled,True,medium,"epoch_sum=6692.640527, summary=6692.640527",Aprovado
32,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
32,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
32,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
32,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
32,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
48,required_files,True,critical,all required files present,Aprovado
48,status_completed,True,critical,completed,Aprovado
48,batch_matches_config,True,critical,"config=48, folder=48",Aprovado
48,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
48,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
48,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
48,timing_summary_reconciled,False,medium,"epoch_sum=4794.671928, summary=372.509121",Falhou
48,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
48,full_telemetry_coverage,False,medium,telemetry_epoch_end=4/50,Falhou
48,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
48,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
48,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
64,required_files,True,critical,all required files present,Aprovado
64,status_completed,True,critical,completed,Aprovado
64,batch_matches_config,True,critical,"config=64, folder=64",Aprovado
64,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
64,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
64,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
64,timing_summary_reconciled,False,medium,"epoch_sum=4357.781384, summary=3536.326803",Falhou
64,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
64,full_telemetry_coverage,False,medium,telemetry_epoch_end=41/50,Falhou
64,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
64,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
64,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
80,required_files,True,critical,all required files present,Aprovado
80,status_completed,True,critical,completed,Aprovado
80,batch_matches_config,True,critical,"config=80, folder=80",Aprovado
80,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
80,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
80,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
80,timing_summary_reconciled,True,medium,"epoch_sum=3908.647331, summary=3908.647331",Aprovado
80,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
80,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
80,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
80,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
80,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
96,required_files,True,critical,all required files present,Aprovado
96,status_completed,True,critical,completed,Aprovado
96,batch_matches_config,True,critical,"config=96, folder=96",Aprovado
96,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
96,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
96,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
96,timing_summary_reconciled,True,medium,"epoch_sum=3676.805033, summary=3676.805033",Aprovado
96,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
96,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
96,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
96,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
96,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
112,required_files,True,critical,all required files present,Aprovado
112,status_completed,True,critical,completed,Aprovado
112,batch_matches_config,True,critical,"config=112, folder=112",Aprovado
112,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
112,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
112,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
112,timing_summary_reconciled,True,medium,"epoch_sum=3285.090226, summary=3285.090226",Aprovado
112,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
112,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
112,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
112,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
112,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
128,required_files,True,critical,all required files present,Aprovado
128,status_completed,True,critical,completed,Aprovado
128,batch_matches_config,True,critical,"config=128, folder=128",Aprovado
128,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
128,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
128,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
128,timing_summary_reconciled,True,medium,"epoch_sum=3278.580903, summary=3278.580903",Aprovado
128,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
128,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
128,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
128,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
128,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
144,required_files,True,critical,all required files present,Aprovado
144,status_completed,True,critical,completed,Aprovado
144,batch_matches_config,True,critical,"config=144, folder=144",Aprovado
144,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
144,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
144,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
144,timing_summary_reconciled,True,medium,"epoch_sum=3013.634536, summary=3013.634536",Aprovado
144,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
144,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
144,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
144,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
144,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
160,required_files,True,critical,all required files present,Aprovado
160,status_completed,True,critical,completed,Aprovado
160,batch_matches_config,True,critical,"config=160, folder=160",Aprovado
160,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
160,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
160,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
160,timing_summary_reconciled,True,medium,"epoch_sum=3052.360617, summary=3052.360617",Aprovado
160,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
160,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
160,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
160,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
160,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
176,required_files,True,critical,all required files present,Aprovado
176,status_completed,True,critical,completed,Aprovado
176,batch_matches_config,True,critical,"config=176, folder=176",Aprovado
176,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
176,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
176,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
176,timing_summary_reconciled,True,medium,"epoch_sum=2940.093739, summary=2940.093739",Aprovado
176,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
176,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
176,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
176,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
176,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
192,required_files,True,critical,all required files present,Aprovado
192,status_completed,True,critical,completed,Aprovado
192,batch_matches_config,True,critical,"config=192, folder=192",Aprovado
192,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
192,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
192,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
192,timing_summary_reconciled,True,medium,"epoch_sum=2672.721626, summary=2672.721626",Aprovado
192,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
192,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
192,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
192,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
192,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
208,required_files,True,critical,all required files present,Aprovado
208,status_completed,True,critical,completed,Aprovado
208,batch_matches_config,True,critical,"config=208, folder=208",Aprovado
208,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
208,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
208,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
208,timing_summary_reconciled,True,medium,"epoch_sum=2664.063121, summary=2664.063121",Aprovado
208,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
208,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
208,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
208,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
208,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
224,required_files,True,critical,all required files present,Aprovado
224,status_completed,True,critical,completed,Aprovado
224,batch_matches_config,True,critical,"config=224, folder=224",Aprovado
224,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
224,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
224,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
224,timing_summary_reconciled,False,medium,"epoch_sum=2913.595924, summary=531.780862",Falhou
224,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
224,full_telemetry_coverage,False,medium,telemetry_epoch_end=7/50,Falhou
224,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
224,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
224,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
240,required_files,True,critical,all required files present,Aprovado
240,status_completed,True,critical,completed,Aprovado
240,batch_matches_config,True,critical,"config=240, folder=240",Aprovado
240,epoch_count_matches_summary,True,critical,"csv=50, summary=50, expected=50",Aprovado
240,epoch_sequence,True,high,"first=[1], last=[50]",Aprovado
240,prediction_count,True,critical,"predictions=10500, support=10500",Aprovado
240,timing_summary_reconciled,True,medium,"epoch_sum=3602.795848, summary=3602.795848",Aprovado
240,full_timing_coverage,True,high,timed_epochs=50/50,Aprovado
240,full_telemetry_coverage,True,medium,telemetry_epoch_end=50/50,Aprovado
240,neutral_augmentation,True,critical,extra_fraction=0.0,Aprovado
240,fixed_split_counts,True,critical,"train=49000, val=10500, test=10500",Aprovado
240,finite_headline_metrics,True,critical,"accuracy, balanced accuracy, macro-F1 and loss are finite",Aprovado
256,required_files,True,critical,all required files present,Aprovado
256,status_completed,True,critical,completed,Aprovado
