batch_size,run_id,status,epochs_completed,best_epoch,best_val_macro_f1,final_val_macro_f1,final_val_accuracy,final_train_accuracy,final_train_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_loss,test_samples,training_seconds_recorded,training_seconds_summary,mean_epoch_seconds_recorded,timed_epoch_count,timing_coverage_rate,timing_comparable,weighted_examples_per_second,mean_train_examples_per_second_summary,median_train_examples_per_second_summary,evaluation_seconds,fit_seconds_current_attempt,wall_seconds_current_attempt,source_samples,train_examples,validation_examples,test_examples,split_fingerprint,source_fingerprint,config_signature,tensorflow_version,gpu_name
16,kmnist__unit_interval__all_raw__seed-42,completed,50,42,0.9857973956426792,0.9828608925027584,0.9828571677207948,0.9969592094421388,0.0124814053997397,0.9848571428571429,0.9848571428571431,0.9848545611798126,0.09108402580022812,10500,9339.067793242004,9128.275393056005,186.78135586484007,50,1.0,Sim,262.3388173467254,267.09194813839366,277.0239063976816,65.77866130399889,11921.102875594,11994.197485429,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
32,kmnist__unit_interval__all_raw__seed-42,completed,50,50,0.9854343782089898,0.9854343782089898,0.9854285717010498,0.9971020221710204,0.0102624110877513,0.9843809523809524,0.9843809523809524,0.9843853176679179,0.08111200481653214,10500,6692.640527357005,6692.640527357005,133.8528105471401,50,1.0,Sim,366.07374772114514,366.17701986959196,367.10943528146737,44.86209367799893,8136.230829798,8185.863615581999,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
48,kmnist__unit_interval__all_raw__seed-42,completed,50,47,0.9829611182829648,0.9828606993630532,0.9828571677207948,0.9967346787452698,0.0106545547023415,0.9834285714285714,0.9834285714285714,0.9834460525930384,0.0980915054678917,10500,4794.671927897019,372.50912111700006,95.89343855794037,50,1.0,Sim,510.9838664341294,527.5745930238944,531.7098900400667,30.38948063700002,461.597386323,495.75309560999995,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
64,kmnist__unit_interval__all_raw__seed-42,completed,50,44,0.9838927633284816,0.981043656604244,0.9810476303100586,0.997204065322876,0.0092782918363809,0.9812380952380952,0.9812380952380954,0.9812333478392794,0.08436797559261322,10500,4357.781383969001,3536.3268029380006,87.15562767938002,50,1.0,Sim,562.2126913049909,568.6163260188692,571.2877295761174,29.192905009999777,4248.3781104340005,4281.739390835,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
80,kmnist__unit_interval__all_raw__seed-42,completed,50,37,0.9808737540720764,0.9790384434263504,0.9790475964546204,0.9970816373825072,0.0095595922321081,0.9813333333333333,0.9813333333333334,0.9813428330696805,0.08920817822217941,10500,3908.6473314859986,3908.6473314859986,78.17294662971997,50,1.0,Sim,626.8153128741225,627.2177465654397,629.9514484527002,27.36641211999995,4669.380560255,4701.398770314001,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
96,kmnist__unit_interval__all_raw__seed-42,completed,50,43,0.9817089736739104,0.9801952220951988,0.9801904559135436,0.99769389629364,0.0071984338574111,0.9797142857142858,0.9797142857142859,0.9797236840143284,0.11004061996936798,10500,3676.8050327669953,3676.8050327669953,73.53610065533991,50,1.0,Sim,666.3393838308152,666.8019853521789,670.6714569788833,25.986718223000935,4370.654192675,4401.12498545,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
112,kmnist__unit_interval__all_raw__seed-42,completed,50,37,0.9798300773253692,0.9772333706356816,0.977238118648529,0.9965510368347168,0.010815167799592,0.98,0.9800000000000001,0.9800279979723155,0.10137318819761276,10500,3285.09022585401,3285.09022585401,65.7018045170802,50,1.0,Sim,745.793823474996,746.4328452611495,749.1723874328129,23.422453980001592,3934.256702995999,3961.1754538759997,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
128,kmnist__unit_interval__all_raw__seed-42,completed,50,50,0.9788602025986256,0.9788602025986256,0.978857159614563,0.9973469376564026,0.0084357615560293,0.9789523809523809,0.9789523809523809,0.9789633407474518,0.11891581863164902,10500,3278.580903179991,3278.580903179991,65.57161806359981,50,1.0,Sim,747.27452893527,748.0830001862477,754.5128920496857,23.175940334000188,3909.9731927030007,3936.753249280002,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
144,kmnist__unit_interval__all_raw__seed-42,completed,50,43,0.9789768114890104,0.9777214076753646,0.9777143001556396,0.9969183802604676,0.010079882107675,0.9797142857142858,0.9797142857142859,0.9797503060730947,0.10831178724765778,10500,3013.634535947989,3013.634535947989,60.27269071895979,50,1.0,Sim,812.971835428383,813.9913812305736,823.0155700059054,22.198929121997935,3644.813479668999,3670.5828538120004,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
160,kmnist__unit_interval__all_raw__seed-42,completed,50,40,0.9800858897515208,0.977221454504682,0.977238118648529,0.995938777923584,0.0133221326395869,0.9780952380952381,0.9780952380952381,0.9780822783036976,0.12144479900598526,10500,3052.3606167969992,3052.3606167969992,61.04721233593998,50,1.0,Sim,802.6574535517734,803.7921248773152,813.5757814260207,23.867692866999278,3696.263721613999,3723.683813992,70000,49000,10500,10500,161c642197f73a5c2a9888f8f889988f3853ec4a3aa1a4101c2c1fe0d3478f81,8928d478d8d23938a73b4f4a92c407bf3d74beff1e0e67e3644d6ecdc30cf828,"{""adapter"":""kmnist"",""balance_mode"":""all_raw"",""dataset"":""kmnist"",""native_channels"":1,""normalization"":""unit_interval"",""num_classes"":10,""seed"":42,""target_size"":64,""test_fraction"":0.15,""train_fraction"":0.7,""training"":{""augmentation"":{""brightness_delta"":0.0,""contrast_lower"":1.0,""contrast_upper"":1.0,""cutout_max_frac"":0.0,""cutout_prob"":0.0,""flip_lr"":false,""noise_std"":0.0,""translate_frac"":0.0,""zoom_max"":1.0,""zoom_min"":1.0},""default_image_size"":64,""dtype_policy"":""mixed_float16"",""early_stopping_patience"":50,""extra_fraction"":0.0,""image_size_overrides"":{""gtsrb"":128},""keras_verbose"":1,""learning_rate"":0.0003,""max_epochs"":50,""preprocess_cache_max_mib"":0,""reduce_lr_factor"":0.3,""reduce_lr_min_lr"":1e-07,""reduce_lr_patience"":50,""shuffle_buffer_max_mib"":0},""validation_fraction"":0.15}",2.21.0,NVIDIA GeForce RTX 3050
