class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9855907780979827,0.9771428571428571,0.9813486370157818
1,1,1,1050,0.9698397737983034,0.98,0.974893415442918
2,2,2,1050,0.9645254074784276,0.9580952380952381,0.9612995699952221
3,3,3,1050,0.9799809342230696,0.979047619047619,0.9795140543115769
4,4,4,1050,0.9660377358490566,0.9752380952380952,0.9706161137440759
5,5,5,1050,0.9673507462686567,0.9876190476190476,0.9773798303487277
6,6,6,1050,0.974757281553398,0.9561904761904761,0.9653846153846155
7,7,7,1050,0.9772727272727273,0.9828571428571429,0.98005698005698
8,8,8,1050,0.9902912621359223,0.9714285714285714,0.9807692307692307
9,9,9,1050,0.9754253308128544,0.9828571428571429,0.9791271347248577
