class_index,label,class_name,support,precision,recall,f1
0,0,0,1050,0.9781990521327014,0.9828571428571429,0.9805225653206651
1,1,1,1050,0.978240302743614,0.9847619047619047,0.9814902705268154
2,2,2,1050,0.9612109744560076,0.9676190476190476,0.9644043663977219
3,3,3,1050,0.9800190294957184,0.9809523809523809,0.9804854831032842
4,4,4,1050,0.9597378277153558,0.9761904761904762,0.967894239848914
5,5,5,1050,0.9847182425978988,0.981904761904762,0.9833094897472581
6,6,6,1050,0.9853658536585366,0.9619047619047619,0.9734939759036144
7,7,7,1050,0.9717247879359096,0.981904761904762,0.9767882520132639
8,8,8,1050,0.983669548511047,0.9752380952380952,0.9794356767097082
9,9,9,1050,0.9903660886319846,0.979047619047619,0.9846743295019158
