class_index,label,class_name,support,precision,recall,f1
0,0,0,31,1.0,1.0,1.0
1,1,1,333,0.9910179640718563,0.993993993993994,0.992503748125937
2,2,2,337,0.996996996996997,0.9851632047477745,0.9910447761194029
3,3,3,211,0.9812206572769953,0.990521327014218,0.9858490566037736
4,4,4,297,0.9932885906040269,0.9966329966329966,0.9949579831932773
5,5,5,283,0.9894366197183099,0.9929328621908127,0.9911816578483243
6,6,6,67,1.0,1.0,1.0
7,7,7,211,0.9858490566037735,0.990521327014218,0.9881796690307328
8,8,8,211,0.995260663507109,0.995260663507109,0.995260663507109
9,9,9,220,0.990990990990991,1.0,0.9954751131221719
10,10,10,301,1.0,0.9933554817275747,0.9966666666666666
11,11,11,198,0.9949238578680203,0.98989898989899,0.9924050632911392
12,12,12,315,1.0,1.0,1.0
13,13,13,324,0.9969230769230769,1.0,0.9984591679506933
14,14,14,121,1.0,1.0,1.0
15,15,15,94,1.0,0.9893617021276596,0.9946524064171123
16,16,16,67,1.0,1.0,1.0
17,17,17,166,1.0,1.0,1.0
18,18,18,180,1.0,0.9888888888888889,0.9944134078212291
19,19,19,31,1.0,1.0,1.0
20,20,20,49,1.0,1.0,1.0
21,21,21,49,1.0,0.9795918367346939,0.9896907216494846
22,22,22,58,1.0,1.0,1.0
23,23,23,76,0.9868421052631579,0.9868421052631579,0.9868421052631579
24,24,24,40,1.0,1.0,1.0
25,25,25,225,0.9911894273127754,1.0,0.9955752212389382
26,26,26,90,0.989010989010989,1.0,0.994475138121547
27,27,27,36,1.0,1.0,1.0
28,28,28,76,0.9733333333333334,0.9605263157894737,0.9668874172185431
29,29,29,40,0.975609756097561,1.0,0.9876543209876543
30,30,30,67,0.9571428571428572,1.0,0.9781021897810218
31,31,31,121,1.0,0.9917355371900827,0.995850622406639
32,32,32,36,1.0,1.0,1.0
33,33,33,103,0.9809523809523809,1.0,0.9903846153846153
34,34,34,63,0.9838709677419355,0.9682539682539683,0.976
35,35,35,180,1.0,0.9888888888888889,0.9944134078212291
36,36,36,58,1.0,1.0,1.0
37,37,37,31,1.0,1.0,1.0
38,38,38,310,0.9967637540453075,0.9935483870967742,0.9951534733441034
39,39,39,45,0.9777777777777777,0.9777777777777777,0.9777777777777777
40,40,40,49,1.0,0.9795918367346939,0.9896907216494846
41,41,41,36,1.0,1.0,1.0
42,42,42,40,1.0,1.0,1.0
