class_index,label,class_name,support,precision,recall,f1
0,0,0,31,0.96875,1.0,0.9841269841269841
1,1,1,333,0.9730538922155688,0.975975975975976,0.9745127436281859
2,2,2,337,0.9720496894409938,0.9287833827893175,0.9499241274658574
3,3,3,211,0.9439252336448598,0.957345971563981,0.9505882352941175
4,4,4,297,0.9761092150170648,0.9629629629629629,0.9694915254237287
5,5,5,283,0.9484536082474226,0.9752650176678446,0.9616724738675959
6,6,6,67,1.0,1.0,1.0
7,7,7,211,0.9808612440191388,0.9715639810426541,0.9761904761904763
8,8,8,211,0.9631336405529954,0.990521327014218,0.9766355140186915
9,9,9,220,0.9776785714285714,0.9954545454545455,0.9864864864864865
10,10,10,301,0.9933554817275747,0.9933554817275747,0.9933554817275747
11,11,11,198,1.0,0.98989898989899,0.9949238578680203
12,12,12,315,0.9968354430379747,1.0,0.9984152139461173
13,13,13,324,0.9969040247678018,0.9938271604938271,0.9953632148377125
14,14,14,121,1.0,1.0,1.0
15,15,15,94,0.96875,0.9893617021276596,0.9789473684210526
16,16,16,67,1.0,1.0,1.0
17,17,17,166,1.0,1.0,1.0
18,18,18,180,0.9943820224719101,0.9833333333333333,0.9888268156424581
19,19,19,31,1.0,1.0,1.0
20,20,20,49,1.0,0.9591836734693877,0.9791666666666666
21,21,21,49,1.0,1.0,1.0
22,22,22,58,1.0,1.0,1.0
23,23,23,76,1.0,0.9868421052631579,0.9933774834437086
24,24,24,40,1.0,1.0,1.0
25,25,25,225,0.9911111111111112,0.9911111111111112,0.9911111111111112
26,26,26,90,0.9782608695652174,1.0,0.989010989010989
27,27,27,36,0.972972972972973,1.0,0.9863013698630138
28,28,28,76,0.9868421052631579,0.9868421052631579,0.9868421052631579
29,29,29,40,1.0,1.0,1.0
30,30,30,67,0.9705882352941176,0.9850746268656716,0.9777777777777777
31,31,31,121,0.9918032786885246,1.0,0.9958847736625513
32,32,32,36,1.0,0.9722222222222222,0.9859154929577464
33,33,33,103,0.9902912621359223,0.9902912621359223,0.9902912621359223
34,34,34,63,0.9538461538461539,0.9841269841269841,0.96875
35,35,35,180,1.0,0.9833333333333333,0.9915966386554621
36,36,36,58,0.95,0.9827586206896551,0.9661016949152542
37,37,37,31,0.96875,1.0,0.9841269841269841
38,38,38,310,1.0,0.9709677419354839,0.9852700490998363
39,39,39,45,0.9,1.0,0.9473684210526316
40,40,40,49,1.0,1.0,1.0
41,41,41,36,0.972972972972973,1.0,0.9863013698630138
42,42,42,40,1.0,1.0,1.0
