class_index,label,class_name,support,precision,recall,f1
0,0,0,31,1.0,1.0,1.0
1,1,1,333,0.993993993993994,0.993993993993994,0.993993993993994
2,2,2,337,0.9970059880239521,0.9881305637982196,0.992548435171386
3,3,3,211,0.9951690821256038,0.976303317535545,0.985645933014354
4,4,4,297,0.9965986394557823,0.9865319865319865,0.9915397631133671
5,5,5,283,0.9756944444444444,0.9929328621908127,0.9842381786339754
6,6,6,67,1.0,1.0,1.0
7,7,7,211,1.0,1.0,1.0
8,8,8,211,0.985981308411215,1.0,0.9929411764705882
9,9,9,220,0.995475113122172,1.0,0.9977324263038548
10,10,10,301,0.9966777408637874,0.9966777408637874,0.9966777408637874
11,11,11,198,0.9899497487437185,0.9949494949494949,0.9924433249370276
12,12,12,315,1.0,1.0,1.0
13,13,13,324,0.9969230769230769,1.0,0.9984591679506933
14,14,14,121,1.0,1.0,1.0
15,15,15,94,1.0,1.0,1.0
16,16,16,67,1.0,1.0,1.0
17,17,17,166,0.9940119760479041,1.0,0.996996996996997
18,18,18,180,1.0,0.9888888888888889,0.9944134078212291
19,19,19,31,1.0,1.0,1.0
20,20,20,49,1.0,1.0,1.0
21,21,21,49,1.0,1.0,1.0
22,22,22,58,1.0,1.0,1.0
23,23,23,76,1.0,0.9868421052631579,0.9933774834437086
24,24,24,40,0.975609756097561,1.0,0.9876543209876543
25,25,25,225,0.9955555555555555,0.9955555555555555,0.9955555555555555
26,26,26,90,0.9782608695652174,1.0,0.989010989010989
27,27,27,36,1.0,1.0,1.0
28,28,28,76,1.0,1.0,1.0
29,29,29,40,1.0,1.0,1.0
30,30,30,67,1.0,0.9850746268656716,0.9924812030075187
31,31,31,121,1.0,1.0,1.0
32,32,32,36,1.0,1.0,1.0
33,33,33,103,1.0,1.0,1.0
34,34,34,63,0.984375,1.0,0.9921259842519685
35,35,35,180,1.0,0.9944444444444445,0.9972144846796658
36,36,36,58,1.0,1.0,1.0
37,37,37,31,1.0,1.0,1.0
38,38,38,310,0.9967637540453075,0.9935483870967742,0.9951534733441034
39,39,39,45,1.0,1.0,1.0
40,40,40,49,1.0,1.0,1.0
41,41,41,36,1.0,1.0,1.0
42,42,42,40,1.0,1.0,1.0
