class_index,label,class_name,support,precision,recall,f1
0,0,0,31,0.379746835443038,0.967741935483871,0.5454545454545455
1,1,1,333,0.7148148148148148,0.5795795795795796,0.6401326699834162
2,2,2,337,0.6272401433691757,0.5192878338278932,0.5681818181818182
3,3,3,211,0.6606334841628959,0.6919431279620853,0.6759259259259259
4,4,4,297,0.7421602787456446,0.7171717171717171,0.7294520547945206
5,5,5,283,0.6045751633986928,0.6537102473498233,0.6281833616298812
6,6,6,67,0.9696969696969697,0.9552238805970149,0.9624060150375939
7,7,7,211,0.7282051282051282,0.6729857819905213,0.6995073891625615
8,8,8,211,0.6323529411764706,0.8151658767772512,0.7122153209109731
9,9,9,220,0.8995633187772926,0.9363636363636364,0.9175946547884187
10,10,10,301,0.9722222222222222,0.9302325581395349,0.9507640067911715
11,11,11,198,0.9943820224719101,0.8939393939393939,0.9414893617021277
12,12,12,315,0.9807073954983923,0.9682539682539683,0.9744408945686902
13,13,13,324,0.9935691318327974,0.9537037037037037,0.9732283464566929
14,14,14,121,0.983739837398374,1.0,0.9918032786885246
15,15,15,94,0.8761904761904762,0.9787234042553191,0.9246231155778896
16,16,16,67,0.9852941176470589,1.0,0.9925925925925926
17,17,17,166,0.9763313609467456,0.9939759036144579,0.9850746268656716
18,18,18,180,0.9047619047619048,0.8444444444444444,0.8735632183908046
19,19,19,31,0.8823529411764706,0.967741935483871,0.923076923076923
20,20,20,49,0.7796610169491526,0.9387755102040817,0.8518518518518519
21,21,21,49,0.9074074074074074,1.0,0.9514563106796117
22,22,22,58,0.9666666666666667,1.0,0.983050847457627
23,23,23,76,0.8625,0.9078947368421053,0.8846153846153847
24,24,24,40,0.6153846153846154,1.0,0.761904761904762
25,25,25,225,0.9344262295081968,0.76,0.838235294117647
26,26,26,90,0.9431818181818182,0.9222222222222223,0.9325842696629215
27,27,27,36,0.6862745098039216,0.9722222222222222,0.8045977011494253
28,28,28,76,0.7790697674418605,0.881578947368421,0.8271604938271606
29,29,29,40,0.8666666666666667,0.975,0.9176470588235294
30,30,30,67,0.855072463768116,0.8805970149253731,0.8676470588235295
31,31,31,121,0.8925619834710744,0.8925619834710744,0.8925619834710744
32,32,32,36,0.782608695652174,1.0,0.878048780487805
33,33,33,103,0.9174311926605505,0.970873786407767,0.9433962264150944
34,34,34,63,0.9076923076923077,0.9365079365079365,0.9218749999999999
35,35,35,180,0.9883040935672515,0.9388888888888889,0.962962962962963
36,36,36,58,0.7142857142857143,0.9482758620689655,0.8148148148148149
37,37,37,31,0.8378378378378378,1.0,0.911764705882353
38,38,38,310,0.9953271028037384,0.6870967741935484,0.8129770992366413
39,39,39,45,0.4166666666666667,1.0,0.5882352941176471
40,40,40,49,0.9230769230769231,0.9795918367346939,0.9504950495049506
41,41,41,36,0.9473684210526315,1.0,0.972972972972973
42,42,42,40,0.9743589743589743,0.95,0.9620253164556962
