class_index,label,class_name,support,precision,recall,f1
0,0,0,1004,0.93812375249501,0.9362549800796812,0.9371884346959123
1,1,1,2844,0.9428770463253222,0.9518284106891702,0.947331583552056
2,2,2,2210,0.9397210976158344,0.9452488687782805,0.942476877960749
3,3,3,1707,0.8896591565569035,0.9021675454012889,0.89586969168121
4,4,4,1497,0.9365499008592201,0.9465597862391449,0.9415282392026578
5,5,5,1390,0.9221645663454411,0.8949640287769784,0.9083607155896313
6,6,6,1155,0.8985255854293148,0.896969696969697,0.8977469670710573
7,7,7,1142,0.9240174672489083,0.9264448336252189,0.925229558373415
8,8,8,1006,0.9083419155509783,0.8767395626242545,0.8922610015174507
9,9,9,938,0.9144385026737968,0.9115138592750534,0.9129738387613455
