class_index,label,class_name,support,precision,recall,f1
0,0,0,1004,0.9135922330097087,0.9372509960159362,0.9252704031465093
1,1,1,2844,0.9597680318956143,0.9310829817158931,0.9452079243262537
2,2,2,2210,0.9458963778083448,0.9334841628959276,0.9396492826235483
3,3,3,1707,0.8976470588235295,0.8939660222612771,0.8958027590255356
4,4,4,1497,0.9366244162775184,0.9378757515030061,0.9372496662216289
5,5,5,1390,0.9114015976761075,0.9028776978417267,0.9071196241416697
6,6,6,1155,0.8841567291311755,0.8987012987012987,0.8913696865607557
7,7,7,1142,0.8934563758389261,0.9325744308231173,0.9125964010282775
8,8,8,1006,0.8978174603174603,0.8996023856858847,0.8987090367428004
9,9,9,938,0.8776978417266187,0.9104477611940298,0.8937728937728937
