class_index,label,class_name,support,precision,recall,f1
0,0,0,1004,0.9279368213228035,0.9362549800796812,0.932077342588002
1,1,1,2844,0.9613561793656581,0.9272151898734177,0.943977089672454
2,2,2,2210,0.9394618834080718,0.9479638009049773,0.9436936936936937
3,3,3,1707,0.9071005917159763,0.8980667838312829,0.9025610833088018
4,4,4,1497,0.9255874673629243,0.9472277889111557,0.9362826015186531
5,5,5,1390,0.937874251497006,0.9014388489208633,0.9192956713132796
6,6,6,1155,0.9280510018214936,0.8822510822510823,0.9045716822015091
7,7,7,1142,0.8862876254180602,0.9281961471103327,0.9067579127459366
8,8,8,1006,0.862708719851577,0.9244532803180915,0.892514395393474
9,9,9,938,0.8853633572159673,0.9221748400852878,0.9033942558746736
