class_index,label,class_name,support,precision,recall,f1
0,0,0,1004,0.9050880626223092,0.9213147410358565,0.9131293188548866
1,1,1,2844,0.9486426999266324,0.9092827004219409,0.9285457809694794
2,2,2,2210,0.9395348837209302,0.9140271493212669,0.9266055045871558
3,3,3,1707,0.8880822746521476,0.8599882835383714,0.8738095238095239
4,4,4,1497,0.9207397622192867,0.9311957247828991,0.925938226502823
5,5,5,1390,0.8919885550786838,0.8971223021582734,0.8945480631276901
6,6,6,1155,0.8600508905852418,0.8779220779220779,0.8688946015424164
7,7,7,1142,0.8699918233851186,0.9316987740805605,0.8997885835095139
8,8,8,1006,0.8595617529880478,0.8578528827037774,0.8587064676616916
9,9,9,938,0.833984375,0.9104477611940298,0.8705402650356779
